f5,f6,f7,f8,f9,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,binaryClass
21,77,76,125,97,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,31,8,0,0,0,N
50,103,149,89,94,0,5,0,0,0,14,47,0,0,0,0,0,20,50,0,0,0,0,0,0,0,N
22,113,76,71,94,0,0,0,1,1,0,0,27,17,0,0,0,0,0,0,0,0,0,0,0,0,N
117,77,77,72,94,9,37,44,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,N
156,94,76,71,94,9,37,0,31,31,53,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
16,149,78,71,94,0,0,0,2,1,0,0,0,71,4,0,0,0,0,0,0,0,0,0,0,0,N
27,77,92,109,127,0,0,1,5,9,0,0,0,0,0,0,0,0,13,6,0,0,5,32,0,0,N
67,110,76,71,94,0,0,0,0,0,50,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N
130,82,122,71,94,0,0,0,68,56,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,N
117,77,87,71,94,26,83,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,N
110,87,76,71,94,14,33,2,0,30,32,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,N
115,77,162,75,94,0,0,95,14,0,0,0,0,0,0,0,0,60,11,0,0,0,0,0,0,0,N
90,77,101,102,94,0,0,8,74,0,0,0,0,0,0,0,0,0,0,37,4,0,0,0,0,0,N
97,101,76,71,94,0,1,6,0,31,53,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
56,102,98,71,94,0,0,5,41,0,0,0,0,0,18,25,0,0,0,0,0,0,0,0,0,0,N
16,77,110,118,94,0,1,2,0,0,0,0,0,0,0,0,0,11,7,0,40,0,0,0,0,0,N
135,81,76,71,94,1,2,83,42,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,N
86,136,99,144,94,0,0,0,0,53,9,0,71,5,0,0,0,0,0,5,63,0,0,0,0,0,N
122,77,77,72,94,54,0,50,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,N
66,119,119,71,94,1,1,0,0,54,1,0,0,0,22,51,0,3,0,0,0,0,0,0,0,0,N
28,148,76,71,94,0,0,0,0,0,0,9,47,33,0,0,0,0,0,0,0,0,0,0,0,0,N
151,77,76,76,101,0,16,76,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N
43,101,76,71,94,3,0,0,4,5,0,34,11,0,0,0,0,0,0,0,0,0,0,0,0,0,N
133,77,76,71,94,16,33,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
117,77,76,71,94,12,52,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
102,77,77,71,94,0,0,41,32,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N
94,77,79,71,94,8,75,1,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,N
50,98,76,72,97,0,0,0,0,0,37,24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,N
135,79,77,74,94,37,49,39,0,0,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,N
148,77,76,71,94,0,46,35,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
13,128,86,76,94,0,0,0,0,0,0,0,0,31,28,0,0,0,0,0,2,2,0,0,0,0,N
59,77,76,81,150,46,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,9,N
58,77,113,88,94,0,0,0,28,21,0,0,0,0,0,0,0,0,35,5,0,0,0,0,0,0,N
156,78,76,71,94,44,19,14,32,38,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
109,92,76,71,94,0,0,64,1,0,45,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
173,77,76,71,94,0,62,62,18,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
105,104,76,71,94,0,44,19,4,6,2,47,5,0,0,0,0,0,0,0,0,0,0,0,0,0,N
59,146,82,74,94,0,18,28,3,0,0,0,0,59,16,0,0,0,0,0,1,1,0,0,0,0,N
63,77,161,77,94,33,16,2,1,0,0,0,0,0,0,0,0,55,16,0,0,0,0,0,0,0,N
114,77,110,92,94,0,0,44,42,23,0,0,0,0,0,0,0,0,24,16,0,0,0,0,0,0,N
148,77,76,71,94,0,2,38,80,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
56,129,103,71,94,0,0,0,18,28,0,0,0,0,64,10,0,0,0,0,0,0,0,0,0,0,N
115,128,104,71,94,19,44,0,28,18,0,0,0,0,62,13,0,0,0,0,0,0,0,0,0,0,N
135,77,76,71,94,10,39,0,63,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
74,77,137,71,94,44,19,1,1,0,0,0,0,0,0,0,0,48,1,0,0,0,0,0,0,0,N
108,77,76,71,97,0,10,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,N
152,77,76,71,94,19,26,74,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
154,113,76,71,94,2,1,0,0,62,96,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
100,96,78,71,94,0,4,15,32,0,45,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,N
118,92,76,71,94,58,7,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
27,114,76,71,94,2,2,2,2,0,0,0,26,18,0,0,0,0,0,0,0,0,0,0,0,0,N
58,77,132,109,94,14,32,0,0,0,2,0,0,0,0,0,0,0,37,33,0,0,0,0,0,0,N
13,92,117,71,94,0,0,0,0,0,0,0,0,5,1,0,41,1,0,0,0,0,0,0,0,0,N
87,77,79,71,94,0,71,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,N
136,77,76,71,94,0,63,47,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
45,144,133,71,94,0,0,1,0,0,39,6,0,0,21,81,0,0,0,0,0,0,0,0,0,0,N
21,114,76,72,99,0,0,2,0,0,0,0,26,19,0,0,0,0,0,0,0,0,0,0,3,0,N
51,97,77,112,113,0,0,0,0,0,40,21,0,0,0,1,0,0,0,0,0,0,36,2,0,0,N
20,88,116,71,94,0,0,5,0,0,2,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,N
52,127,76,71,94,2,1,0,0,0,32,14,31,13,0,0,0,0,0,0,0,0,0,0,0,0,N
44,163,80,71,94,0,2,1,0,0,0,43,34,33,11,0,0,0,0,0,0,0,0,0,0,0,N
95,98,76,72,94,37,9,0,1,0,37,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,N
56,77,117,86,94,18,28,0,0,0,0,0,0,0,0,0,0,5,37,0,1,0,0,0,0,0,N
20,78,163,74,94,0,1,3,3,0,0,0,1,0,0,0,0,63,8,0,0,0,0,0,0,0,N
95,119,96,71,94,0,8,71,1,4,4,0,0,0,53,5,0,0,0,0,0,0,0,0,0,0,N
87,98,114,116,94,0,0,0,47,31,0,0,0,0,3,40,0,0,0,0,36,4,0,0,0,0,N
68,127,98,71,94,0,0,3,0,32,31,0,0,1,52,9,0,0,0,0,0,0,0,0,0,0,N
18,99,120,119,115,2,1,0,0,2,0,0,0,0,0,33,24,0,0,0,0,5,33,5,0,0,N
59,86,122,91,94,0,0,0,34,15,0,0,0,0,1,18,0,0,27,14,0,0,0,0,0,0,N
49,120,76,71,94,0,2,1,0,1,1,56,21,0,0,0,0,0,0,0,0,0,0,0,0,0,N
115,79,78,71,94,36,73,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,N
37,151,83,71,94,0,3,0,0,0,1,44,0,37,22,0,0,0,0,0,0,0,0,0,0,0,N
92,101,76,71,94,0,0,0,0,17,83,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
102,89,76,71,94,0,50,12,0,0,39,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
15,77,121,129,94,0,0,0,0,2,0,0,0,0,0,0,0,0,5,56,14,0,0,0,0,0,N
18,114,121,73,95,0,0,1,3,1,0,0,0,0,4,70,0,0,0,0,0,0,1,1,0,0,N
90,138,92,71,94,48,34,0,0,0,0,0,0,25,50,0,0,0,0,0,0,0,0,0,0,0,N
17,77,76,78,153,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,N
14,131,86,71,94,0,0,0,1,0,0,0,0,37,22,4,0,0,0,0,0,0,0,0,0,0,N
63,104,95,108,94,0,0,1,2,0,45,32,0,0,0,0,0,0,0,20,20,0,0,0,0,0,N
117,92,77,71,94,0,0,0,0,70,54,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,N
13,116,90,159,94,0,0,0,0,0,0,0,0,30,14,0,0,0,0,0,28,39,0,0,0,0,N
132,77,76,71,94,0,38,27,19,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
116,78,76,71,94,0,1,34,14,56,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
88,105,76,71,94,0,0,0,2,34,31,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
27,77,77,137,94,4,7,0,2,1,0,0,0,0,0,0,0,0,0,0,3,42,0,0,0,0,N
115,77,80,71,94,6,93,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,N
91,102,77,72,94,0,3,0,5,41,18,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,N
115,77,76,73,95,0,50,45,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,N
50,103,79,71,94,0,0,0,3,2,15,46,0,0,0,0,1,1,0,0,0,0,0,0,0,0,N
14,126,88,73,95,0,0,0,0,1,0,0,0,23,36,0,0,0,0,0,0,0,2,0,0,0,N
117,82,76,71,94,0,31,31,46,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,N
71,96,105,76,97,0,50,12,0,0,0,0,0,0,0,36,7,0,0,0,0,0,3,2,0,0,N
117,77,76,71,94,0,0,17,63,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
100,82,92,79,94,0,0,9,64,18,0,0,3,3,0,0,0,0,15,4,0,0,0,0,0,0,N
127,80,78,72,94,0,0,0,25,91,8,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,N
98,96,76,71,94,18,28,2,1,0,43,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
102,77,76,71,94,46,0,2,37,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
84,115,76,80,113,0,50,13,1,6,1,0,21,23,0,0,0,0,0,0,0,0,0,9,7,0,N
130,77,76,71,94,0,24,78,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
133,91,76,71,94,0,0,24,55,9,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N
62,106,112,72,94,4,48,0,0,0,0,0,0,0,3,55,0,0,0,0,0,0,0,1,0,0,N
70,109,76,71,94,0,14,32,0,3,0,2,43,0,0,0,0,0,0,0,0,0,0,0,0,0,N
97,79,76,71,94,0,0,50,34,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,N
98,96,76,71,94,1,45,19,0,0,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
158,77,76,72,95,60,32,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,N
115,108,76,96,133,0,0,79,1,0,0,55,6,0,0,0,0,0,0,0,0,0,0,30,7,0,N
61,77,147,72,94,0,46,6,0,0,0,0,0,0,0,0,2,54,0,1,0,0,0,0,0,0,N
56,112,105,71,94,0,0,9,37,0,0,0,0,0,26,33,0,0,0,0,0,0,0,0,0,0,N
15,121,78,71,94,0,2,0,0,0,0,0,0,42,4,0,0,0,0,0,0,0,0,0,0,0,N
111,102,76,71,94,0,0,0,43,21,29,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
166,77,76,71,94,0,12,72,47,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
56,115,100,71,94,46,0,0,0,0,0,0,0,0,41,18,0,0,0,0,0,0,0,0,0,0,N
92,118,76,71,94,0,0,2,18,63,0,0,7,37,0,0,0,0,0,0,0,0,0,0,0,0,N
53,153,76,71,94,0,0,0,0,0,3,58,46,14,0,0,0,0,0,0,0,0,0,0,0,0,N
107,102,76,71,94,0,47,32,2,0,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,N
133,77,76,72,95,3,14,72,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,N
108,116,76,71,94,2,1,0,0,62,0,71,6,0,0,0,0,0,0,0,0,0,0,0,0,0,N
48,150,110,73,94,0,0,0,0,0,28,33,0,23,36,0,5,14,0,0,2,0,0,0,0,0,N
57,134,76,71,94,0,0,0,0,0,0,84,22,0,0,0,0,0,0,0,0,0,0,0,0,0,N
17,101,101,71,94,0,0,0,1,1,2,1,0,0,9,34,0,0,0,0,0,0,0,0,0,0,N
135,77,76,71,94,1,115,12,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
25,113,77,71,94,1,2,0,0,0,0,0,39,6,2,0,0,0,0,0,0,0,0,0,0,0,N
69,146,76,75,102,46,0,2,7,0,0,0,20,56,0,0,0,0,0,0,0,0,0,4,3,0,N
154,78,76,71,94,44,19,43,43,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N
73,121,76,71,95,1,2,0,0,0,57,26,24,0,0,0,0,0,0,0,0,0,0,0,1,0,N
100,150,76,71,94,0,0,23,60,9,0,0,1,74,0,0,0,0,0,0,0,0,0,0,0,0,N
150,77,76,71,94,73,8,0,58,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
122,77,76,71,94,0,100,9,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
58,146,115,71,94,18,28,1,0,0,0,0,0,33,15,54,0,0,0,0,0,0,0,0,0,0,N
165,81,76,71,94,0,3,32,116,6,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
86,120,76,71,94,0,0,0,14,32,0,52,25,0,0,0,0,0,0,0,0,0,0,0,0,0,N
122,135,76,71,94,17,36,47,0,0,0,0,68,8,0,0,0,0,0,0,0,0,0,0,0,0,N
75,123,76,71,94,2,22,28,7,2,0,0,19,32,0,0,0,0,0,0,0,0,0,0,0,0,N
87,77,76,114,142,0,8,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28,8,0,N
92,77,76,71,94,1,0,58,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
47,97,85,159,94,0,0,0,1,1,27,26,0,1,0,0,0,0,0,0,28,39,0,0,0,0,N
134,79,78,71,94,24,88,14,2,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,N
164,84,78,71,95,0,71,55,32,2,0,0,0,3,6,0,0,0,0,0,0,0,0,0,1,0,N
18,97,105,71,94,0,0,3,0,2,1,0,0,0,0,38,5,0,0,0,0,0,0,0,0,0,N
108,86,76,71,94,0,1,1,46,24,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
93,81,79,72,96,73,12,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,1,0,N
105,106,76,71,94,10,33,23,0,0,2,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
46,108,111,90,94,0,0,0,0,0,6,59,2,0,0,0,0,0,30,11,0,0,0,0,0,0,N
72,120,76,71,94,18,28,0,0,0,0,6,54,0,0,0,0,0,0,0,0,0,0,0,0,0,N
94,77,76,71,94,0,44,40,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
67,123,77,71,94,0,0,10,11,1,0,59,18,1,3,0,0,0,0,0,0,0,0,0,0,0,N
72,77,108,94,95,0,0,0,44,19,0,0,0,0,0,0,0,0,21,20,0,0,0,1,0,0,N
105,104,76,71,94,1,65,0,0,0,10,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
120,102,76,71,94,0,0,0,37,25,53,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
22,87,130,118,94,0,1,2,0,0,8,1,0,0,1,0,29,13,0,0,30,10,0,0,0,0,N
76,117,76,71,95,0,9,37,3,0,0,15,45,0,0,0,0,0,0,0,0,0,0,0,1,0,N
131,77,76,71,94,25,81,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
57,78,76,129,118,0,0,0,46,0,0,2,0,0,0,0,0,0,0,0,0,6,43,3,0,0,N
97,101,76,71,94,0,0,0,0,21,89,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
117,77,76,71,94,5,42,6,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
121,77,76,71,94,0,6,57,51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
18,89,122,71,94,0,0,2,3,0,0,0,0,0,0,2,48,0,0,0,0,0,0,0,0,0,N
134,77,76,71,94,0,64,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
68,144,76,71,94,0,0,0,3,9,53,1,21,39,0,0,0,0,0,0,0,0,0,0,0,0,N
53,111,81,78,94,0,0,0,0,0,15,62,0,0,0,0,0,0,0,6,2,0,0,0,0,0,N
100,77,76,71,94,0,53,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
37,174,106,71,94,0,0,0,0,0,10,35,0,12,87,3,0,0,0,0,0,0,0,0,0,0,N
105,93,76,71,94,0,0,0,0,54,54,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
77,102,117,71,94,0,2,47,19,0,0,0,0,0,0,44,14,0,0,0,0,0,0,0,0,0,N
100,77,76,71,94,6,4,48,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
101,77,76,71,94,0,0,46,0,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
35,146,91,71,94,0,1,1,0,0,0,40,5,13,46,0,0,0,0,0,0,0,0,0,0,0,N
117,77,76,71,94,0,0,23,61,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
92,77,76,71,94,0,44,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
92,77,76,71,94,32,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
115,78,76,72,94,5,42,37,25,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,N
97,111,77,72,94,0,0,0,32,15,14,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,N
146,77,76,71,94,0,0,19,99,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
200,77,76,71,94,95,63,0,18,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
43,114,76,71,94,0,0,0,5,21,0,0,26,19,0,0,0,0,0,0,0,0,0,0,0,0,N
71,123,92,71,94,0,31,31,0,0,0,0,0,11,48,0,0,0,0,0,0,0,0,0,0,0,N
119,77,76,80,96,9,51,53,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,N
18,79,107,96,94,0,3,3,0,0,0,0,0,0,3,0,0,0,14,27,0,0,0,0,0,0,N
99,77,76,71,94,0,0,32,14,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
46,156,88,71,94,1,1,0,1,2,0,58,3,22,37,0,0,0,0,0,0,0,0,0,0,0,N
105,104,76,71,94,0,0,33,49,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,N
18,92,110,71,94,0,0,5,1,0,0,0,0,0,0,20,23,0,0,0,0,0,0,0,0,0,N
100,111,76,71,94,50,12,0,0,0,21,24,9,11,0,0,0,0,0,0,0,0,0,0,0,0,N
46,104,76,71,94,0,0,1,1,0,9,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
94,80,77,71,94,21,62,0,0,0,4,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,N
18,110,107,71,94,0,0,4,2,0,0,0,0,0,19,39,0,0,0,0,0,0,0,0,0,0,N
115,91,76,71,94,0,0,0,37,26,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
52,99,102,101,94,0,0,2,1,0,31,30,0,0,0,0,0,0,0,40,0,0,0,0,0,0,N
141,130,76,71,94,0,10,10,11,37,25,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
52,101,76,71,94,0,4,1,1,0,21,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
19,77,126,115,94,0,4,2,0,0,0,0,0,0,0,0,0,0,20,49,0,0,0,0,0,0,N
58,78,76,85,147,42,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,36,0,N
16,120,85,71,94,0,0,1,2,0,0,0,0,22,29,0,0,0,0,0,0,0,0,0,0,0,N
71,101,100,71,94,0,37,25,0,0,0,0,0,0,12,31,0,0,0,0,0,0,0,0,0,0,N
74,77,81,123,94,52,14,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23,0,0,0,0,N
58,114,105,76,94,0,0,0,0,9,53,0,0,0,14,29,0,0,4,4,0,0,0,0,0,0,N
111,80,90,123,94,0,0,50,12,30,15,0,0,0,0,0,0,0,0,0,43,3,0,0,0,0,N
56,116,91,71,94,0,0,0,14,32,0,0,0,16,27,6,3,0,0,0,0,0,0,0,0,0,N
132,90,76,105,121,0,8,71,0,8,54,0,0,0,0,0,0,0,0,0,0,0,18,19,0,0,N
132,77,76,71,94,0,0,26,58,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
115,77,76,71,94,31,40,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
83,112,76,71,94,0,0,17,4,0,36,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
130,119,99,71,94,0,57,25,0,0,51,11,0,0,13,30,0,0,0,0,0,0,0,0,0,0,N
75,83,84,161,94,0,0,0,31,31,1,4,6,0,0,0,0,0,0,0,24,43,0,0,0,0,N
130,97,76,71,94,0,26,40,2,0,73,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
153,77,76,71,94,0,63,16,27,42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
16,128,104,71,94,0,3,0,0,0,0,0,0,0,60,14,0,0,0,0,0,0,0,0,0,0,N
44,104,77,79,94,0,0,0,0,0,12,49,0,0,0,0,0,0,0,0,3,3,0,0,0,0,N
84,102,76,77,118,0,0,0,3,7,82,9,0,0,0,0,0,0,0,0,0,0,0,0,15,1,N
114,84,76,71,94,25,37,1,5,17,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
92,77,76,71,94,0,0,49,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
18,115,86,82,94,0,1,2,1,1,0,0,0,19,27,0,0,0,0,0,2,6,0,0,0,0,N
117,77,76,71,94,0,3,25,42,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
99,110,76,71,94,23,24,2,0,0,17,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
137,98,76,71,94,18,28,37,25,0,4,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
71,77,94,109,94,0,19,44,0,0,0,0,0,0,0,0,0,0,0,17,23,0,0,0,0,0,N
115,79,77,72,95,0,50,12,23,23,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,N
63,153,76,71,94,0,0,2,0,0,12,65,37,15,0,0,0,0,0,0,0,0,0,0,0,0,N
99,77,77,78,102,0,0,14,78,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,4,0,N
99,108,76,74,94,0,0,44,19,0,0,56,5,0,0,0,0,0,0,0,0,2,0,0,0,0,N
20,138,102,72,94,0,3,0,0,0,0,0,19,25,6,37,0,0,0,0,1,0,0,0,0,0,N
110,92,76,71,95,0,39,26,0,1,42,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N
119,77,76,71,94,67,42,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
31,185,100,71,94,0,0,0,0,0,2,5,63,20,45,15,0,0,0,0,0,0,0,0,0,0,N
106,77,76,71,94,0,64,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
111,110,76,71,94,0,31,31,0,0,17,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
132,77,76,71,94,12,50,51,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
200,77,76,71,94,55,51,50,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
134,79,84,88,94,6,106,12,0,0,2,4,0,0,0,0,0,0,0,8,10,0,0,0,0,0,N
58,77,114,128,94,2,1,0,0,43,3,0,0,0,0,0,0,0,0,50,18,0,0,0,0,0,N
89,114,77,71,94,0,0,27,28,0,15,30,0,18,2,0,0,0,0,0,0,0,0,0,0,0,N
108,94,76,71,94,28,21,19,0,0,36,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N
