bedrooms,bathrooms,sqft_living,sqft_lot,waterfront,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15,date_year,date_month,date_day,price
3,1.0,1280,9656,0,6,920,360,1959,0,47.4485,-122.175,1340,8808,0,7,29,12.6410997921206
3,2.5,3160,13603,0,8,3160,0,2003,0,47.7443,-121.977,3050,9232,0,7,18,13.098072734013513
3,1.0,990,8528,0,6,990,0,1966,0,47.3066,-122.37100000000001,1228,8840,1,3,25,12.257198175846119
4,2.5,2290,13416,0,9,2290,0,1981,0,47.6194,-122.15100000000001,2680,13685,0,7,16,13.573440270649085
3,1.75,1250,5963,0,7,1250,0,1953,0,47.6796,-122.301,970,5100,1,4,28,13.017005083966255
3,2.5,2753,65005,1,9,2165,588,1953,0,47.4041,-122.45100000000001,2680,72513,1,3,11,14.115615891155079
3,1.0,1190,9199,0,7,1190,0,1955,0,47.4258,-122.322,1190,9364,0,9,16,12.337105293891872
5,2.5,3150,9134,0,8,1640,1510,1966,0,47.4934,-122.189,1990,9133,1,2,17,12.75130259456002
3,1.75,1410,4080,0,7,1000,410,1950,0,47.6808,-122.384,1410,4080,0,12,31,13.304686600863562
2,1.75,1980,8550,0,7,990,990,1981,0,47.6989,-122.369,1480,6738,1,2,5,13.279368835614243
5,2.25,2730,6000,0,8,2130,600,1927,0,47.6571,-122.281,2730,6000,1,3,3,13.732130035981154
4,2.5,2830,5000,0,9,2830,0,1995,0,47.6597,-122.29,1950,5000,0,5,12,13.69334405393293
4,2.5,2250,4495,0,7,2250,0,2008,0,47.3663,-122.11399999999999,2250,4500,0,8,19,12.586223364451623
3,2.5,2420,4750,0,8,2420,0,2003,0,47.3663,-122.12200000000001,2690,4750,1,4,7,12.614868865984631
5,3.25,3250,14342,0,8,3250,0,1968,0,47.588,-122.116,2960,11044,0,8,27,13.765270393051685
4,3.0,1850,9976,0,8,1850,0,1991,0,47.5059,-122.149,2270,8542,1,2,23,12.971542813248437
3,2.25,2150,21235,0,8,1590,560,1959,0,47.4336,-122.339,2570,18900,0,12,10,13.384729180332174
3,1.75,1260,8400,0,7,1260,0,1954,0,47.4366,-122.335,1290,8750,0,8,28,12.574185427296195
3,1.75,2519,8690,0,8,2519,0,1973,0,47.4428,-122.344,2500,9500,0,10,21,13.132315688453556
3,1.75,1540,1044,0,8,1540,0,2014,0,47.6765,-122.32,1580,3090,0,12,7,13.215855541983634
3,2.25,1660,6000,0,7,1110,550,1979,0,47.6113,-122.29700000000001,1440,4080,0,6,3,12.959846800844963
3,2.75,2770,3809,0,7,1770,1000,1925,0,47.5747,-122.304,1440,4000,0,11,20,12.668629868984294
4,2.5,2720,11049,0,10,2720,0,1989,0,47.5815,-122.19200000000001,2750,11049,0,9,9,13.790193775620484
4,2.5,2240,4648,0,7,2240,0,2005,0,47.3378,-122.257,2221,4557,0,10,9,12.567240979056246
3,1.0,1000,12070,0,7,1000,0,1968,0,47.3621,-122.11,1010,12635,0,8,25,12.225880174775122
5,2.25,3200,20158,0,8,1600,1600,1965,0,47.6303,-122.215,3390,20158,0,6,12,14.096923772119156
5,3.25,4770,50094,0,11,3070,1700,1973,0,47.6525,-122.16,3530,38917,0,9,12,13.854732232655556
3,2.0,1260,5612,0,7,1260,0,1972,0,47.7362,-122.179,1640,4745,1,1,5,12.691583538230217
4,2.0,2750,7807,0,7,2250,500,1916,0,47.7168,-122.287,1510,7807,0,6,10,13.255146239950099
4,2.5,2380,5000,0,8,2380,0,2005,0,47.3608,-122.036,2420,5000,0,7,10,12.793862088206213
3,1.75,1790,50529,0,7,1090,700,1965,0,47.3511,-122.073,1940,50529,1,3,16,12.762830066509972
4,4.0,3430,35102,0,10,2390,1040,1986,0,47.5822,-121.98700000000001,3240,35020,0,11,5,13.632189702037216
4,1.75,1760,7300,0,7,880,880,1956,0,47.6034,-122.125,1680,7500,0,10,13,12.847929163278053
3,1.0,1040,5060,0,7,1040,0,1941,0,47.5636,-122.39399999999999,890,5060,1,4,20,13.081543466215237
3,1.0,1410,5060,0,7,910,500,1956,0,47.7073,-122.34,1130,5693,0,6,9,12.923914877701906
4,2.5,3450,39683,0,10,3450,0,2002,0,47.342,-122.025,3350,39750,1,3,23,13.487007879880162
3,2.5,2350,5100,0,8,2350,0,2003,0,47.3512,-122.008,2350,5363,0,12,2,12.873904582205107
4,2.5,1900,5889,0,7,1900,0,1992,0,47.349,-122.031,1870,6405,0,12,22,12.793862088206213
2,1.0,2020,6720,0,7,1010,1010,1948,0,47.5474,-122.291,1720,6720,0,10,28,12.779875885354993
3,1.5,1680,8712,0,8,1680,0,1964,0,47.4811,-122.149,1850,8797,1,1,28,12.782688818818986
3,1.0,960,6634,0,6,960,0,1952,0,47.7264,-122.31,1570,7203,0,6,2,12.660331092405906
3,1.5,2140,3600,0,9,1900,240,1925,0,47.6337,-122.365,2020,4800,0,11,14,13.753636218075409
5,2.25,2660,8400,0,7,2660,0,1961,0,47.2909,-122.189,1590,8165,0,11,3,12.628070334272698
3,3.25,2770,6278,0,9,1980,790,2006,0,47.5228,-122.199,1900,7349,0,6,18,13.04115549117383
2,2.25,1610,2040,0,7,1610,0,1979,0,47.518,-122.194,1950,2025,0,5,19,12.278397958261774
2,1.75,1030,1066,0,7,765,265,2006,0,47.5394,-122.387,1030,1106,0,9,4,12.721888795877375
4,2.5,1980,7403,0,7,1980,0,1988,0,47.2897,-122.37200000000001,1980,7510,0,5,22,12.40287632827253
5,2.75,3520,6353,0,10,3520,0,2001,0,47.6506,-122.391,2520,6250,1,3,11,13.910712550098342
3,1.0,1200,10500,0,7,1200,0,1962,0,47.321999999999996,-122.351,1350,10500,1,2,26,11.938199736300925
3,1.5,1580,5000,0,8,1290,290,1939,0,47.687,-122.38600000000001,1570,4500,0,7,25,12.971542813248437
3,1.5,1580,5000,0,8,1290,290,1939,0,47.687,-122.38600000000001,1570,4500,0,12,23,13.45883704259595
4,2.5,3300,10250,0,7,2390,910,1946,1991,47.5873,-122.249,1950,6045,0,9,8,13.715691327653829
3,1.75,1960,15681,0,7,1960,0,1967,0,47.3576,-122.277,1750,15616,1,3,30,12.419169901386761
4,1.5,1160,6400,0,7,1160,0,1975,0,47.3036,-122.37799999999999,1160,6400,0,9,12,12.201065128819632
3,1.75,1810,41800,0,7,1210,600,1980,0,47.4109,-121.958,1650,135036,0,7,11,12.657151449598695
3,2.5,2320,36847,0,9,2320,0,1992,0,47.4838,-121.714,2550,35065,0,5,16,12.988834270491479
3,2.5,2070,13241,0,9,1270,800,1910,0,47.6415,-122.315,2200,4500,0,6,11,13.653968797939685
3,2.0,1980,3478,0,7,1440,540,1929,0,47.6775,-122.37200000000001,1610,3478,0,10,27,13.22672519452875
3,2.25,2190,107593,0,8,2190,0,1983,0,47.7731,-122.08,2570,47777,0,12,12,13.458765611575428
3,2.5,2920,8113,0,8,2920,0,1950,2010,47.5814,-122.196,2370,8113,0,10,7,13.89985262551525
3,1.0,1210,33919,0,7,1210,0,1954,0,47.4375,-122.184,1640,14910,0,9,24,12.577639650232573
3,2.5,2340,10005,0,8,1460,880,1978,0,47.4431,-122.133,2250,8162,1,4,2,12.834683971615659
3,1.0,1670,4005,0,7,1170,500,1939,0,47.6878,-122.38,1240,4005,0,5,23,13.038983942375959
2,1.75,1240,2493,0,8,1240,0,1985,0,47.3813,-122.322,1270,4966,0,7,23,12.146858590895919
4,2.5,3140,28037,0,10,3140,0,1991,0,47.7304,-122.08200000000001,2990,35001,1,3,5,13.429849547739444
5,1.75,2030,12342,0,7,2030,0,1942,0,47.6417,-122.109,2500,9433,0,8,27,13.060490101343552
4,2.5,2310,9624,0,8,2310,0,1984,0,47.5386,-122.053,1940,9636,0,7,25,13.300929558259364
3,1.75,1260,3328,0,6,700,560,1905,0,47.6823,-122.34899999999999,1380,3536,1,3,4,13.25339339419516
3,1.75,1540,12600,0,7,1160,380,1980,0,47.3624,-122.031,1540,11656,0,9,16,12.515397562803473
3,1.75,2080,5969,0,7,1080,1000,1971,0,47.5474,-122.295,2090,5500,0,11,24,12.706699437569211
4,2.5,3230,16171,0,9,2520,710,2001,0,47.3183,-122.25299999999999,2640,8517,0,10,28,13.081543466215237
3,3.5,4380,6350,0,8,2780,1600,1900,1999,47.6981,-122.368,1830,6350,0,11,21,13.51508226312797
3,3.5,1590,1102,0,8,1590,0,2010,0,47.6824,-122.34700000000001,1620,3166,0,6,26,13.158697235290168
2,1.0,880,6780,0,6,880,0,1945,0,47.5009,-122.24799999999999,1190,6780,0,6,23,12.232841150744216
4,2.0,1570,9600,0,6,1570,0,1950,0,47.4965,-122.303,1880,9000,1,1,8,12.054092109237121
4,1.0,1610,2982,0,7,1610,0,1925,0,47.586999999999996,-122.294,1610,4040,1,5,11,13.190023895035274
3,2.5,2400,6474,0,8,1560,840,1964,0,47.7728,-122.38600000000001,2340,10856,1,1,2,13.399996629152975
3,2.0,1450,9132,0,7,1450,0,1987,0,47.7288,-122.226,1580,9104,0,11,19,12.87774334868815
2,1.0,770,6000,0,6,770,0,1953,0,47.6999,-122.36399999999999,1710,6000,1,4,6,12.886643575525625
4,1.75,2100,4400,0,7,1720,380,1924,0,47.5299,-122.266,1850,4400,0,11,4,13.005831808336863
3,2.25,2910,10204,0,9,2910,0,1990,0,47.6897,-122.098,2700,13992,0,6,18,13.554147092530322
4,2.75,2750,17789,0,8,1980,770,1914,1992,47.6141,-122.212,3060,11275,1,3,2,14.187074804051692
3,2.25,2100,8201,0,8,1620,480,1967,0,47.5091,-122.244,2660,8712,0,7,17,13.005831808336863
4,2.25,2160,8811,0,8,1360,800,1978,0,47.3129,-122.39,2090,8400,0,7,17,12.468440756144114
5,3.5,2320,4960,0,7,1720,600,1926,0,47.6763,-122.352,1700,4960,0,6,13,13.620104977426395
4,2.5,2070,4310,0,7,2070,0,2004,0,47.5319,-121.85,1970,3748,1,4,6,12.971542813248437
3,1.75,1060,7875,0,7,1060,0,1986,0,47.2761,-122.152,1420,7680,1,1,5,12.264346270624157
4,2.25,2010,9603,0,8,1440,570,1986,0,47.5343,-122.054,2060,9793,1,4,28,13.400753916947913
3,3.5,3950,111078,0,9,2460,1490,1989,0,47.696999999999996,-122.072,2480,88500,0,6,12,13.572165574841936
3,2.5,2010,2287,0,8,1390,620,2014,0,47.5517,-121.99799999999999,1690,1662,0,5,12,13.024192509731431
4,3.5,2140,2278,0,9,2140,0,2005,0,47.6734,-122.38,1540,2285,1,1,26,13.42246945133505
3,1.75,1320,17390,0,7,1320,0,1956,0,47.3257,-122.296,1550,19265,0,8,13,12.201065128819632
4,1.75,2020,7840,0,7,1010,1010,1968,0,47.3309,-122.29899999999999,1750,8140,0,8,5,12.301387370778713
4,2.25,2590,10002,0,8,1340,1250,1968,0,47.7689,-122.266,1550,10436,0,5,29,13.021439671201302
2,1.0,1190,4440,0,6,1190,0,1981,0,47.7135,-122.287,1060,5715,0,7,7,12.854486546624395
3,2.25,1170,1249,0,8,1170,0,2014,0,47.6722,-122.381,1350,1310,0,5,7,13.161489855348382
2,1.0,1110,3200,0,7,1110,0,1925,0,47.6338,-122.35799999999999,1170,3600,0,6,27,13.407543823396258
5,2.5,2820,9375,0,8,1550,1270,1968,0,47.5707,-122.12799999999999,2820,9375,0,7,8,13.17628511440807
3,1.0,1610,8579,0,7,1010,600,1962,0,47.4563,-122.171,1610,8579,1,5,8,12.230770136157428
3,1.0,1060,8097,0,7,940,120,1923,0,47.7144,-122.351,1560,7940,1,4,15,12.948012371209098
4,2.25,2030,8517,0,8,1380,650,1961,0,47.5495,-122.17399999999999,2230,8824,1,2,27,13.122365377402328
4,2.5,3670,315374,0,9,3670,0,1994,0,47.7421,-122.02600000000001,2840,87991,0,12,3,13.733759141278622
4,1.0,2550,4000,0,8,2370,180,1905,0,47.6354,-122.353,2200,4000,0,6,25,13.698977865303197
2,2.5,2420,60984,0,7,2420,0,2007,0,47.5262,-121.943,1940,193842,0,8,6,12.971542813248437
5,2.0,2260,12500,0,8,1130,1130,1960,0,47.3887,-122.286,1360,18000,0,10,30,12.460718739865236
3,1.0,1430,3455,0,7,980,450,1947,0,47.6873,-122.336,1450,4599,0,11,4,13.144126826131089
3,2.0,1360,3090,0,8,1360,0,1990,0,47.6838,-122.353,1500,3090,0,8,20,13.184720145248114
3,1.0,1110,5000,0,7,1110,0,1947,0,47.655,-122.359,1420,5000,1,4,9,13.235693848424024
3,1.0,1250,8200,0,7,1250,0,1954,0,47.3255,-122.304,1680,8633,1,3,31,12.553029016757746
4,3.25,5180,19850,0,12,3540,1640,2006,0,47.562,-122.162,3160,9750,1,4,1,14.626441218624949
1,1.0,700,5100,0,7,700,0,1942,0,47.678999999999995,-122.3,1010,5100,0,5,16,12.765691290604371
3,1.0,1180,7669,0,7,1180,0,1967,0,47.4479,-122.176,1190,7669,0,7,28,12.278397958261774
5,3.5,3960,25245,0,9,2500,1460,1996,0,47.525,-122.17200000000001,2640,13675,0,11,20,13.384729180332174
4,2.75,2640,7500,0,8,1620,1020,1967,0,47.3135,-122.369,1980,7875,0,8,7,12.676079399771027
3,2.0,1270,7198,0,7,1270,0,1916,2013,47.2086,-121.99600000000001,1160,7198,0,11,13,12.417147664184915
4,1.75,1760,11180,0,8,1760,0,1968,0,47.4715,-122.118,1730,11180,0,10,3,12.676079399771027
5,2.25,2060,8632,0,7,1030,1030,1962,0,47.4877,-122.335,1010,11680,0,5,7,12.449022745701502
3,1.75,1780,9660,0,7,1780,0,1962,0,47.7171,-122.193,1200,9660,1,3,9,12.989976472461
3,2.5,3400,16603,0,10,3400,0,2000,0,47.6012,-122.023,3400,12601,1,3,4,13.710151153416941
3,2.75,1910,7280,0,7,1160,750,1979,0,47.7319,-122.22399999999999,1710,8152,0,6,20,12.996802422000108
3,2.0,2020,38332,0,7,1010,1010,1975,0,47.4582,-122.023,2110,36590,0,8,12,12.948012371209098
3,1.75,1580,7000,0,7,1180,400,1976,0,47.7209,-122.16799999999999,1640,7500,0,12,8,12.821260987319457
2,1.75,1340,7250,0,5,700,640,1949,0,47.408,-122.32700000000001,1830,9750,1,2,19,12.505995740029274
4,2.5,2680,4499,0,9,2680,0,1999,0,47.565,-122.125,2920,4500,1,3,24,13.601204094315538
3,2.5,2680,9750,0,8,1610,1070,1979,0,47.7028,-122.23100000000001,2480,8750,0,6,5,13.389333939650964
3,2.0,1370,8336,0,7,1370,0,1964,0,47.7458,-122.331,1770,7288,0,6,11,12.82530683492637
3,1.75,1560,21000,0,7,1560,0,1954,0,47.4776,-122.337,1070,7920,1,3,16,12.556733038263905
3,1.75,2160,7140,0,7,1670,490,1978,0,47.3026,-122.374,1930,7350,1,1,2,12.513561021741964
3,1.5,1340,7912,0,7,1340,0,1955,0,47.7658,-122.339,1480,7940,0,5,2,12.653961664405365
4,2.5,3880,35003,0,10,2570,1310,1984,0,47.6477,-122.182,3740,35230,1,1,16,13.729408948828524
4,2.25,2590,8190,0,8,2590,0,1980,0,47.5619,-122.125,2260,8335,0,9,29,13.419502094509863
3,2.5,1120,1100,0,8,820,300,2008,0,47.6106,-122.31,1590,1795,1,2,10,12.959846800844963
5,2.75,1970,5400,0,7,1320,650,1986,0,47.5868,-122.30799999999999,1280,2150,0,7,9,12.899097318586382
3,1.0,1220,4800,0,6,1220,0,1901,0,47.6101,-122.307,1200,4800,0,5,30,12.861001210669146
3,1.5,1950,7560,0,7,1320,630,1975,0,47.1976,-121.999,1950,8941,0,11,17,12.505995740029274
2,1.0,1350,8220,0,7,1060,290,1949,0,47.7224,-122.35799999999999,1540,8280,1,1,7,12.706850963741102
3,2.5,1670,5797,0,7,1670,0,1988,0,47.3505,-122.179,1670,6183,0,7,25,12.468440756144114
4,3.0,2380,5125,0,7,1680,700,1925,0,47.5384,-122.376,1410,5375,1,4,14,13.060490101343552
4,3.0,2440,9600,0,7,2440,0,1961,0,47.7044,-122.2,2290,9600,0,6,13,13.286183160425152
2,1.5,1050,3419,0,7,1050,0,1996,0,47.3848,-122.039,1050,3417,0,7,23,12.004574385508691
4,2.75,3130,13412,0,9,2140,990,1993,0,47.6993,-122.102,2260,9984,0,9,5,13.635188201437066
5,3.0,4090,12850,0,10,2090,2000,1986,0,47.6627,-122.18799999999999,2540,10270,0,11,21,13.90626583447433
4,1.75,1490,10000,0,8,1100,390,1969,0,47.3099,-122.37899999999999,2190,8910,1,4,15,12.502470376049185
3,2.5,1900,8744,0,8,1900,0,1987,0,47.62,-122.04299999999999,2030,8744,0,5,5,13.235693848424024
4,1.0,1330,2400,0,6,1330,0,1901,0,47.65,-122.34,1330,4400,1,4,18,13.329379172803593
3,2.25,2230,10026,0,8,1430,800,1975,0,47.6647,-122.15299999999999,2230,9340,0,12,5,13.27969015095896
3,1.75,1650,9480,0,7,1220,430,1977,0,47.726000000000006,-122.191,1540,8400,0,8,18,12.628070334272698
3,1.0,1190,8820,0,6,1190,0,1959,0,47.4616,-122.184,1230,7980,0,11,5,12.025455635171172
3,2.5,2140,9897,0,8,2140,0,1959,0,47.5505,-122.219,2680,10083,0,9,12,13.591117476312084
3,2.5,2180,7508,0,7,1420,760,1962,0,47.7606,-122.336,1900,7818,0,6,25,12.899222326086994
3,1.0,1060,10228,0,7,1060,0,1948,0,47.7481,-122.3,1570,10228,0,12,1,12.345838935721968
3,2.5,1690,5025,0,8,1690,0,2003,0,47.2779,-122.34700000000001,2550,5001,0,5,15,12.456379900115223
4,2.0,1970,6480,0,7,1130,840,1920,0,47.5511,-122.31200000000001,1500,6480,0,11,11,12.955129822091815
3,2.5,2150,4084,0,8,2150,0,2007,0,47.5488,-122.37200000000001,1750,2385,0,7,23,13.049794835104816
3,2.5,1910,66211,0,7,1910,0,1997,0,47.5385,-121.911,2330,67268,1,1,13,12.994532278619134
3,1.75,1350,155073,0,7,1350,0,1969,0,47.4058,-121.994,1560,50965,0,10,14,12.861001210669146
3,1.0,860,11725,0,6,860,0,1943,0,47.5093,-122.184,1300,9514,1,3,11,12.25486757159303
3,2.5,1940,14952,0,8,1940,0,1994,0,47.3777,-122.165,2030,10450,0,11,12,12.601490784782536
3,1.0,1010,5000,0,7,1010,0,1952,0,47.675,-122.39399999999999,1680,5000,0,7,16,13.060490101343552
3,1.5,1300,7370,0,7,900,400,1976,0,47.3025,-122.37,1430,7500,0,8,4,12.330504638906516
3,1.0,910,8450,0,6,910,0,1962,0,47.4787,-122.15799999999999,1400,8040,1,3,3,12.521799024438941
4,1.75,2480,11010,0,9,1630,850,1966,0,47.5378,-122.219,2770,10744,0,8,4,13.641158361294979
3,2.5,2440,4587,0,8,2440,0,2010,0,47.7073,-122.11399999999999,2750,4587,0,9,19,13.426756538561795
3,1.0,1010,5864,0,7,1010,0,1915,0,47.5733,-122.381,1290,5000,1,2,5,12.959846800844963
2,0.75,900,9600,0,6,900,0,1941,0,47.4604,-122.339,1250,14280,0,11,23,12.102105602982014
6,3.0,2300,3404,0,7,1600,700,1920,1994,47.7067,-122.34299999999999,1560,1312,0,7,17,13.047641986378483
4,2.25,1550,7579,0,8,1550,0,1993,0,47.354,-122.04700000000001,1630,6397,1,4,22,12.676079399771027
3,2.25,1270,1566,0,8,1060,210,2014,0,47.6647,-122.28399999999999,1160,1327,0,7,17,13.34631460246227
4,2.5,2240,12032,0,9,2240,0,1983,0,47.6143,-122.01700000000001,2520,12368,0,5,15,13.292107839753712
3,2.5,2714,17936,0,9,2714,0,2005,0,47.3185,-122.275,2590,18386,1,1,14,13.049794835104816
4,2.75,1720,6270,0,8,1720,0,1978,0,47.5458,-122.26799999999999,2130,8700,0,5,27,13.07527386630434
2,1.0,850,16400,0,6,850,0,1923,0,47.4889,-122.29899999999999,1100,14459,1,1,15,12.54254845357358
5,3.0,3300,33474,0,9,1870,1430,1957,1991,47.5673,-122.21,3836,20953,1,2,21,14.22430412061672
3,2.5,2250,5692,0,8,2250,0,2000,0,47.5133,-122.37899999999999,1320,5390,0,7,3,13.007713179283789
2,2.25,3900,14864,0,8,1950,1950,1947,0,47.5884,-122.291,2580,5184,0,8,28,13.88503755344827
2,1.5,1320,10800,0,8,1320,0,1947,0,47.7145,-122.367,2120,12040,0,10,23,13.054086677976365
4,2.5,2760,6440,0,10,2760,0,1999,0,47.5836,-122.02600000000001,3070,8127,0,8,22,13.438634364432907
3,2.0,1750,9750,0,7,1350,400,1961,0,47.398,-122.29899999999999,1900,10125,0,6,5,12.5423698668371
4,2.25,2330,19436,0,8,2330,0,1987,0,47.7663,-122.215,1910,10055,0,9,4,13.174957725054906
3,2.25,2220,16020,0,8,1780,440,1966,0,47.3758,-122.21700000000001,2080,9583,0,9,18,12.691583538230217
3,2.25,2020,8379,0,7,2020,0,1994,0,47.3828,-122.023,2020,8031,0,9,3,12.700771936142122
3,2.25,1250,7500,0,7,1250,0,1942,0,47.5123,-122.37299999999999,1280,7392,0,6,4,12.873904582205107
2,2.0,1510,6516,0,8,1510,0,2005,0,47.7076,-122.01299999999999,1640,6009,1,3,9,13.081439294339882
4,2.25,1720,9753,0,7,1120,600,1978,0,47.2922,-122.37100000000001,1510,9753,0,5,29,12.487300182210822
3,1.0,1430,15246,0,7,980,450,1961,0,47.4075,-122.214,1960,13068,1,1,15,12.367345048436391
3,2.5,1480,4729,0,7,1480,0,2004,0,47.6794,-122.03399999999999,2250,4729,1,3,3,13.154832503648379
2,1.75,1450,15798,1,7,1230,220,1915,1978,47.4497,-122.375,2030,13193,1,4,13,13.39239204133378
4,2.75,2280,15347,0,7,2280,0,1960,0,47.5218,-122.164,2280,15347,0,6,16,13.122365377402328
6,2.75,2940,7350,0,8,1780,1160,1978,0,47.3103,-122.339,2120,8236,0,11,21,12.660331092405906
2,1.0,1000,10200,0,6,1000,0,1961,0,47.5687,-121.899,1150,13702,0,11,20,12.269052139516223
3,1.5,2480,5280,0,7,1620,860,1947,0,47.5575,-122.303,2090,4800,0,9,2,13.07107218827772
5,4.0,3760,28040,0,10,3760,0,1983,0,47.6489,-122.18299999999999,3430,35096,0,6,10,13.840204146163925
3,2.0,2220,94300,0,7,1640,580,1976,0,47.3459,-121.95,2070,80100,1,4,9,12.938442943086665
4,1.0,1970,4740,0,7,1670,300,1904,2005,47.6136,-122.303,1510,4740,1,3,20,12.923914877701906
3,3.5,3830,221284,0,10,3530,300,1993,0,47.7641,-122.023,2920,148539,0,7,1,13.592368256649284
6,2.5,4410,14034,0,9,2350,2060,1965,0,47.3376,-122.324,2600,13988,0,5,29,13.064736383209516
3,1.75,1430,8505,0,7,1430,0,1968,0,47.3173,-122.319,1190,8640,0,12,8,12.323860125621126
